feature,relative_gain
numeric__sttl,0.71091044
numeric__ct_srv_dst,0.033322684
numeric__sbytes,0.018654855
numeric__swin,0.015148734
categorical__service_dns,0.014982079
numeric__ct_dst_sport_ltm,0.014724732
numeric__smean,0.013108604
numeric__sloss,0.010039484
categorical__state_CON,0.009638164
categorical__service_http,0.00958327
categorical__proto_unas,0.009579688
categorical__proto_mobile,0.008935175
categorical__proto_swipe,0.008906106
categorical__proto_udp,0.008567071
numeric__dpkts,0.007937634
numeric__trans_depth,0.00677031
numeric__dbytes,0.00670017
numeric__ct_state_ttl,0.0064584375
numeric__dmean,0.006257334
numeric__ct_dst_src_ltm,0.005844165
numeric__dloss,0.005173341
numeric__synack,0.005119564
categorical__proto_sun-nd,0.00427446
numeric__ct_srv_src,0.0036776634
numeric__tcprtt,0.003667447
categorical__service_-,0.003453102
categorical__proto_icmp,0.0034149755
categorical__state_INT,0.0032469197
categorical__service_ftp,0.0028544383
numeric__spkts,0.002806395
numeric__response_body_len,0.0027248145
numeric__ct_src_dport_ltm,0.0024574695
numeric__sinpkt,0.0024558417
categorical__proto_ospf,0.0021313366
numeric__sload,0.0019531066
categorical__proto_igmp,0.0018666954
numeric__dttl,0.0018517901
numeric__sjit,0.0017628622
numeric__dinpkt,0.0016941538
numeric__rate,0.001640912
numeric__dur,0.0016394836
numeric__ct_src_ltm,0.0015029683
numeric__dload,0.0014898063
numeric__djit,0.0014691364
numeric__ct_dst_ltm,0.0014559721
categorical__service_ftp-data,0.0011237677
categorical__proto_arp,0.0010243971
categorical__proto_sctp,0.0008989048
numeric__ct_flw_http_mthd,0.00087296613
numeric__dtcpb,0.00084857864
numeric__stcpb,0.000841134
numeric__ct_ftp_cmd,0.0007371591
numeric__ackdat,0.00071511354
categorical__proto_pim,0.00045291978
categorical__service_smtp,0.00039770955
categorical__proto_sep,0.00023351332
categorical__proto_a/n,0.0
categorical__proto_aes-sp3-d,0.0
categorical__proto_argus,0.0
categorical__proto_any,0.0
categorical__proto_aris,0.0
numeric__dwin,0.0
